Time(s),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),Propofol-PlasmaConcentration(ug/L)
0.02,72.0,96.137978,95.258038,114.271633,73.530624,0.0
10.02,72.052453,102.910938,95.25932,114.273022,73.531853,0.0
20.02,72.044794,110.322295,95.25986,114.274035,73.532049,0.0
30.02,72.03469,114.275582,95.260647,114.275762,73.532128,0.0
40.02,72.023092,111.111203,95.261355,114.277692,73.531906,0.0
50.02,72.011116,97.76,95.262003,114.279701,73.531508,0.0
60.02,71.999288,76.183825,95.26261,114.281733,73.531016,0.0
70.02,71.987793,76.701678,95.263191,114.283757,73.530479,0.0
80.02,71.977962,81.646102,95.263995,114.28596,73.530111,0.0
90.02,71.966916,87.056104,95.264552,114.287946,73.529569,0.0
100.02,71.956087,92.976011,95.265095,114.2899,73.529027,0.0
110.02,71.945429,99.454382,95.265628,114.291825,73.52849,0.0
120.02,71.934918,106.544652,95.266154,114.293724,73.52796,0.0
130.02,71.924518,113.55118,95.266677,114.295601,73.527438,0.0
140.02,71.91419,113.609305,95.2672,114.297464,73.526924,0.0
150.02,71.903877,106.083186,95.267728,114.299324,73.526416,0.0
160.02,71.893536,86.670034,95.268257,114.30118,73.52591,0.0
170.02,71.883053,74.378828,95.268749,114.302981,73.525379,0.0
180.02,71.873152,79.108499,95.269467,114.304935,73.52511,0.0
190.02,71.862312,84.28369,95.269971,114.306724,73.524629,0.0
200.02,71.851572,89.946789,95.270477,114.308515,73.524142,0.0
210.02,71.840883,96.144291,95.270994,114.310323,73.523653,0.0
220.02,71.830204,102.927176,95.27151,114.312138,73.523154,0.0
230.02,71.819369,110.351927,95.271974,114.313872,73.522622,0.0
240.02,71.808635,114.315908,95.27249,114.315663,73.522132,0.0
250.02,71.798032,111.156541,95.273041,114.317501,73.521655,0.0
260.02,71.787438,97.797761,95.27362,114.319386,73.521185,0.0
270.02,71.776844,76.187004,95.274194,114.321271,73.520705,0.0
280.02,71.766222,76.680216,95.27474,114.323109,73.520212,0.0
290.02,71.755586,81.630425,95.275187,114.324682,73.519874,0.0
300.02,71.744991,87.047481,95.275776,114.326569,73.519413,0.0
310.02,71.734427,92.975859,95.27635,114.328447,73.518934,0.0
320.02,71.724008,99.464349,95.27694,114.330337,73.518477,0.0
330.02,71.713563,106.566672,95.277581,114.332293,73.518064,0.0
340.02,71.703026,113.586162,95.278223,114.334257,73.517646,0.0
350.02,71.692559,113.651757,95.278835,114.336177,73.517222,0.0
360.02,71.681917,106.125825,95.279428,114.338053,73.516816,0.0
370.02,71.671064,86.694032,95.280075,114.339991,73.516464,0.0
380.02,71.660262,74.356495,95.28066,114.341857,73.516069,0.0
390.02,71.651081,79.091032,95.281044,114.343392,73.515531,0.0
400.02,71.640404,84.272244,95.281689,114.345346,73.515164,0.0
410.02,71.629818,89.942684,95.282269,114.347217,73.514757,0.0
420.02,71.619303,96.149063,95.282821,114.349044,73.514352,0.0
430.02,71.608686,102.942596,95.283361,114.350866,73.513939,0.0
440.02,71.59824,110.38009,95.28385,114.352622,73.513483,0.0
450.02,71.587915,114.354182,95.284322,114.354354,73.51301,0.0
460.02,71.577545,111.19952,95.28478,114.356078,73.512517,0.0
470.02,71.567412,97.833558,95.285225,114.357784,73.512001,0.0
480.02,71.557443,76.190089,95.285706,114.359535,73.51149,0.0
490.02,71.547481,76.659765,95.286182,114.361292,73.510961,0.0
500.02,71.538026,81.615215,95.286821,114.363134,73.510676,0.0
510.02,71.528113,87.03884,95.287301,114.364882,73.510164,0.0
520.02,71.518129,92.975255,95.287742,114.36659,73.50961,0.0
530.02,71.508347,99.473538,95.288239,114.368343,73.5091,0.0
540.02,71.498513,106.587654,95.288834,114.370228,73.508638,0.0
550.02,71.488616,113.619842,95.289406,114.372098,73.508154,0.0
560.02,71.478783,113.692928,95.290044,114.374039,73.507736,0.0
570.02,71.468735,106.167565,95.290712,114.376028,73.507337,0.0
580.02,71.45872,86.717445,95.291326,114.377942,73.506924,0.0
590.02,71.448581,74.333782,95.291982,114.379903,73.506569,0.0
600.02,71.439592,79.073115,95.292328,114.381399,73.506022,0.017708
610.02,70.890256,83.946379,95.034965,114.132737,73.276842,8.169441
