Time(s),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),Propofol-PlasmaConcentration(ug/L)
0.02,72.0,103.028827,95.325269,114.260594,73.584941,0.0
10.02,72.049871,110.393205,95.32691,114.26247,73.586438,0.0
20.02,72.038811,114.263985,95.327862,114.264273,73.586731,0.0
30.02,72.024035,110.976609,95.328921,114.266782,73.586678,0.0
40.02,72.007885,97.543155,95.329826,114.269421,73.586244,0.0
50.02,71.991475,76.112767,95.33058,114.27199,73.585599,0.0
60.02,71.975553,76.937419,95.331333,114.274598,73.584916,0.0
70.02,71.962093,81.867181,95.332419,114.277494,73.584477,0.0
80.02,71.947158,87.257057,95.333129,114.280036,73.58378,0.0
90.02,71.932679,93.150583,95.33382,114.282532,73.583081,0.0
100.02,71.91857,99.595421,95.334494,114.284984,73.582385,0.0
110.02,71.90477,106.644059,95.335158,114.287402,73.581699,0.0
120.02,71.891231,113.598507,95.335817,114.28979,73.581025,0.0
130.02,71.877909,113.542537,95.336476,114.292159,73.580361,0.0
140.02,71.864758,105.901918,95.337137,114.294516,73.579706,0.0
150.02,71.851736,86.478669,95.337806,114.29687,73.579058,0.0
160.02,71.838796,74.616574,95.33848,114.299225,73.578415,0.0
170.02,71.827016,79.334831,95.339483,114.30185,73.578105,0.0
180.02,71.814036,84.493668,95.34013,114.304155,73.577476,0.0
190.02,71.801152,90.134726,95.340776,114.306454,73.57685,0.0
200.02,71.788349,96.303682,95.341424,114.30875,73.576225,0.0
210.02,71.775604,103.050626,95.342077,114.311048,73.575601,0.0
220.02,71.762889,110.431227,95.34274,114.313357,73.574978,0.0
230.02,71.75017,114.315737,95.343409,114.315675,73.574354,0.0
240.02,71.73745,111.034571,95.344079,114.317997,73.573726,0.0
250.02,71.724724,97.591277,95.344749,114.320318,73.573097,0.0
260.02,71.711863,76.116703,95.345376,114.322567,73.57244,0.0
270.02,71.699016,76.909798,95.346065,114.324891,73.57183,0.0
280.02,71.686226,81.846955,95.346913,114.327267,73.571556,0.0
290.02,71.673173,87.245823,95.347572,114.329565,73.570926,0.0
300.02,71.660162,93.150168,95.34823,114.331869,73.570285,0.0
310.02,71.647223,99.607929,95.348888,114.334175,73.569643,0.0
320.02,71.634382,106.671927,95.349563,114.336499,73.569009,0.0
330.02,71.621595,113.64289,95.350268,114.338858,73.568394,0.0
340.02,71.608674,113.596442,95.350982,114.341214,73.567779,0.0
350.02,71.595656,105.956252,95.351746,114.34364,73.567196,0.0
