Time(s),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),Propofol-PlasmaConcentration(ug/L)
0.02,72.0,94.732915,95.239403,114.257191,73.47301,0.0
10.02,72.045854,101.343671,95.241701,114.259924,73.475109,0.0
20.02,72.025425,108.573543,95.24368,114.263791,73.474929,0.0
30.02,71.999224,114.173473,95.245135,114.267951,73.473159,0.0
40.02,71.972783,112.340128,95.246373,114.272176,73.470763,0.0
50.02,71.947568,101.698675,95.247506,114.276352,73.468149,0.0
60.02,71.923757,80.327979,95.248611,114.280481,73.465504,0.0
70.02,71.90113,75.726324,95.249705,114.284552,73.462887,0.0
80.02,71.88008,80.566366,95.251047,114.288596,73.46102,0.0
90.02,71.858458,85.858547,95.252015,114.292389,73.458508,0.0
100.02,71.837447,91.645884,95.253016,114.296189,73.456033,0.0
110.02,71.816877,97.975536,95.254056,114.300014,73.453589,0.0
120.02,71.796686,104.899379,95.255103,114.303827,73.451167,0.0
130.02,71.776783,112.475929,95.256147,114.307596,73.448767,0.0
140.02,71.757074,114.066335,95.257315,114.311505,73.446472,0.0
150.02,71.73736,108.539841,95.258554,114.3155,73.444223,0.0
160.02,71.717655,91.744408,95.259801,114.319498,73.441993,0.0
170.02,71.697914,73.440108,95.261059,114.323491,73.439825,0.0
180.02,71.678295,78.074097,95.261648,114.326396,73.437792,0.0
190.02,71.658806,83.1414,95.262897,114.330362,73.435579,0.0
200.02,71.639188,88.682984,95.264174,114.334354,73.433437,0.0
210.02,71.619295,94.74408,95.265498,114.338396,73.431391,0.0
220.02,71.599211,101.374323,95.266819,114.342433,73.429372,0.0
230.02,71.579082,108.628796,95.268065,114.346366,73.427353,0.0
240.02,71.558742,114.251932,95.269254,114.350218,73.425357,0.0
250.02,71.538351,112.429694,95.270386,114.353999,73.423347,0.0
260.02,71.517914,101.778512,95.271364,114.357574,73.421264,0.0
270.02,71.497373,80.344048,95.272262,114.36103,73.419169,0.0
280.02,71.477009,75.684794,95.273116,114.364449,73.416996,0.0
290.02,71.459966,80.535343,95.274449,114.368328,73.414995,0.0
300.02,71.439548,85.840274,95.275323,114.371776,73.412856,0.0
310.02,71.419487,91.643056,95.27616,114.375187,73.410631,0.0
320.02,71.399673,97.991329,95.276981,114.378592,73.408307,0.0
330.02,71.380145,104.937406,95.277796,114.382004,73.405931,0.0
340.02,71.361067,112.540529,95.278716,114.385549,73.403565,0.0
350.02,71.342255,114.146994,95.279712,114.389203,73.40119,0.0
360.02,71.323773,108.624793,95.280774,114.392938,73.39885,0.0
370.02,71.305308,91.799748,95.282011,114.396887,73.396623,0.0
380.02,71.286653,73.394615,95.283289,114.400892,73.394424,0.0
390.02,71.267821,78.037775,95.283937,114.403841,73.392466,0.0
400.02,71.249348,83.116481,95.285208,114.407837,73.390258,0.0
410.02,71.230699,88.672069,95.286482,114.41183,73.38808,0.0
420.02,71.211715,94.750149,95.287811,114.415872,73.386032,0.0
